"id","application","benchmark","file","line","function","version"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","regcomp.c","3950","S_regclass","v1.1"
"be99b666-ff82-429e-b4c7-dd647519a928","cg","netlib","cg_rc.c","256","r8mat_mv","default"
"26166dea-4a8b-479a-a5d8-04b381eb077a","482.sphinx3","spec2006","vector.c","89","vector_sum_norm","v1.1"
"2c6f1989-b804-4de3-a27f-5d3a22ef7df4","libpng","libraries","pngrtran.c","2596","png_do_read_invert_alpha","default"
"929b693c-befd-4379-9adf-672b9db15e87","EP","NPB","ep.c","264","main","2.3-OpenACC-C"
"061a23ae-0741-4f06-b402-032735e96352","301.apsi","spec2000","apsi.c","5287","trid","v1.3"
"b53a2031-612b-4e8f-9b08-056c618c627c","300.twolf","spec2000","utemp.c","167","utemp","v1.3"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","2595","s256","default"
"f3a3a269-a04c-4cfa-8c64-7c6fe2a3625d","464.h264ref","spec2006","block.c","557","dct_luma_16x16","v1.1"
"2ff98fa2-83b6-4295-a0da-b7824cb706bb","mpeg4dec","mediabench","mpegaudio.c","127","MPA_encode_init","default"
"964f604f-1cd7-4f00-adf9-cef96b121606","456.hmmer","spec2006","vectorops.c","232","FNorm","v1.1"
"1e5201b1-b9b4-442e-960e-94b11bbc01bc","mpeg4enc","mediabench","mpegaudiodec.c","420","decode_init","default"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","convect.c","83","convect","2.3-OpenACC-C"
"e60df686-69f5-4976-b8e7-2513619f1259","liblinear","cortexsuite","linear.c","245","l2r_l2_svc_fun_grad","default"
"301d9585-272e-4ae4-b0df-f34f93841fae","silk","libraries","SKP_Silk_CNG.c","142","SKP_Silk_CNG","default"
"2ff98fa2-83b6-4295-a0da-b7824cb706bb","mpeg4dec","mediabench","dsputil.c","3783","dsputil_static_init","default"
"2b575b90-58f1-46a3-a7c6-5fe19f136533","darknet","machinelearning","blas.c","149","axpy_cpu","default"
"c3f1334a-f0c9-44bc-a75e-4c9b5ebad27b","livermore","livermore","lloops.c","2329","iqranf","default"
"c0c75422-f85a-42c7-b178-a9c06e29a5b1","DC","NPB","jobcntl.c","52","setLeadingOnes32","2.3-OpenACC-C"
"45f798f8-0155-4c1a-a729-392483621301","445.gobmk","spec2006","board.c","1944","count_common_libs","v1.1"
"964f604f-1cd7-4f00-adf9-cef96b121606","456.hmmer","spec2006","ucbqsort.c","80","specqsort","v1.1"
"93f9b0b4-3ff4-47f6-bedb-7899b0365b0f","IS","NPB","is.c","232","randlc","2.3-OpenACC-C"
"50b8bfaf-8ba7-493e-a226-8d2ec67d0078","UA-SNU","NPB","precond.c","392","setpcmo_pre","2.3-OpenACC-C"
"673e5d6c-68c6-48e5-8c7f-3ca2da9cc9d7","srr","cortexsuite","SystemMatrices.c","358","CalculateA","default"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","82","set1d","default"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","1515","s151s","default"
"071e0363-89a9-4aac-9f74-05b0f47c1098","mpeg2enc","mediabench","predict.c","436","pred_comp","default"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","pp_sys.c","3424","Perl_pp_fttext","v1.1"
