alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=800000,6882,67,1894,0,0,1894,0,0,0,0,0,0,0,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6882,0,0,0,0,-67,0,0,0,-1894,0,0,0,0,0,0,0,0,0,0,0,0,12.665000,3788
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=900000,3922,40,6248,0,0,6248,0,0,0,0,0,0,0,6248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3922,0,0,0,0,-40,0,0,0,-6248,0,0,0,0,0,0,0,0,0,0,0,0,14.296000,3884
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_602,-D PARAM_NB_GROUPS=1000000,8083,36,3491,0,0,3491,0,0,0,0,0,0,0,3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8083,0,0,0,0,-36,0,0,0,-3491,0,0,0,0,0,0,0,0,0,0,0,0,16.527000,3984
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_468,,243,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243,0,0,0,0,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283000,3012
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_541,-D PARAM_SIZE=100000,1864,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1864,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.598000,3104
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_541,-D PARAM_SIZE=200000,183,47,61,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-183,0,0,0,0,-47,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,3.029000,3200
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_541,-D PARAM_SIZE=300000,5059,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5059,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.877000,3300
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_541,-D PARAM_SIZE=400000,6582,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6582,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.445000,3404
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_541,-D PARAM_SIZE=500000,1874,34,1376,0,0,1376,0,0,0,0,0,0,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1874,0,0,0,0,-34,0,0,0,-1376,0,0,0,0,0,0,0,0,0,0,0,0,7.510000,3496
lore_1e5201b1-b9b4-442e-960e-94b11bbc01bc_541,-D PARAM_SIZE=600000,9750,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9750,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.004000,3592
